threshold,precision,recall,f1
0.1,0.57716250815804,0.9674745434654548,0.7230048424627382
0.15000000000000002,0.6161687745311819,0.9511907767398805,0.7478744169120323
0.20000000000000004,0.6463674278881208,0.9325086257679037,0.7635092071038534
0.25000000000000006,0.6720819408342616,0.9138685517125305,0.774544417103527
0.30000000000000004,0.695877812448678,0.8914415551628376,0.7816125878511742
0.3500000000000001,0.7200865891554066,0.8677943280316418,0.7870704295227737
0.40000000000000013,0.7440549520289693,0.8386350248253808,0.7885189800803117
0.45000000000000007,0.7674177053371685,0.8082975679542204,0.7873273494815362
0.5000000000000001,0.788839840569151,0.774467727004965,0.7815877194844901
0.5500000000000002,0.8100139082058414,0.7351678868972482,0.7707781895182636
0.6000000000000002,0.8315794799150056,0.6916182782125726,0.7551686115960673
0.6500000000000001,0.8523209105110466,0.6428090549524531,0.7328855840729191
0.7000000000000002,0.8724786111284581,0.5878566018682151,0.7024309308931849
0.7500000000000002,0.897386184116042,0.5258352267945805,0.6631115356043723
0.8000000000000002,0.9220491873032083,0.4559033913994782,0.6101303601092435
0.8500000000000002,0.9442760062728698,0.3800387107632753,0.5419579370555939
